"Tỉnh, thành phố";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Sơ bộ 2019"
"Thái Bình";939.5;975.7;930.4;968.9;1059.8;1050.6;993.9;1081.6;930.7;1069.5;981.6;1079.6;1014.8;1105.2;1105.8;1104.4;1091.3;1059.5;1053.2;1061.9;1061.9;1053.6;942.6;1030.4;1022.8
"Hà Nam";299.4;307.3;343.3;359.4;383.4;385.6;396.0;404.8;388.1;399.4;374.8;404.8;407.1;416.3;419.1;417.4;424.6;424.5;395.1;401.6;405.6;395.5;366.4;386.3;384.6
"Nam Định";787.3;809.1;904.4;952.2;973.8;965.6;970.7;983.4;946.2;987.0;782.6;964.3;931.8;929.0;889.1;952.0;931.6;933.8;914.6;937.7;935.2;923.9;841.9;891.2;884.5
"Ninh Bình";316.8;276.9;374.8;405.3;428.5;426.6;440.4;455.9;427.8;460.5;397.1;464.9;444.6;467.9;484.1;485.5;487.9;490.4;460.9;484.3;475.4;468.1;437.0;457.2;451.0
"Trung du và miền núi phía Bắc";1669.8;1768.5;1911.6;1946.3;2123.5;2292.6;2504.7;2632.6;2749.2;2823.5;2864.6;2904.1;2891.9;2903.9;3053.6;3087.8;3199.1;3271.1;3265.6;3341.1;3336.8;3405.5;3336.4;3382.8;3373.8
"Hà Giang";81.9;89.0;95.6;99.9;109.8;121.4;130.8;137.1;146.0;150.0;154.8;158.2;161.7;167.3;185.3;194.2;201.8;202.9;206.9;207.9;203.5;210.5;211.4;212.8;213.6
"Cao Bằng";92.4;84.1;91.8;91.3;98.4;88.0;99.8;98.6;104.6;104.0;110.3;117.3;119.8;124.6;118.9;125.8;117.2;123.1;125.6;126.9;129.5;124.8;132.7;132.5;135.3
"Bắc Kạn";50.5;53.9;60.1;60.9;64.1;66.3;75.5;78.6;81.2;82.1;87.6;88.1;92.9;93.8;96.2;93.7;97.9;104.4;107.3;112.1;117.4;118.1;112.3;114.7;115.6
"Tuyên Quang";133.7;149.0;155.4;169.4;177.1;184.5;229.7;220.5;244.3;247.3;248.9;251.2;252.4;256.6;261.3;261.8;265.9;266.7;266.6;265.4;266.3;264.3;262.9;262.4;259.2
"Lào Cai";82.5;87.7;87.3;94.4;103.9;113.0;122.1;125.1;136.9;111.0;117.5;117.7;124.0;118.4;128.3;126.4;141.7;144.3;146.9;148.4;150.1;158.3;158.8;172.9;177.1
