city,year,population,area,district
Kiên Giang,2017,1792.6,Đồng Bằng Sông Cửu Long,Huyện Giồng Riềng
Kiên Giang,2018,1810.5,Đồng Bằng Sông Cửu Long,Huyện Kiên Hải
Kiên Giang,2019,1723.7,Đồng Bằng Sông Cửu Long,Huyện Tân Hiệp
Cần Thơ,2011,1208.0,Đồng Bằng Sông Cửu Long,Quận Ninh Kiều
Cần Thơ,2012,1218.3,Đồng Bằng Sông Cửu Long,Huyện Cờ Đỏ
Cần Thơ,2013,1228.5,Đồng Bằng Sông Cửu Long,Huyện Cờ Đỏ
Cần Thơ,2014,1238.3,Đồng Bằng Sông Cửu Long,Huyện Cờ Đỏ
Cần Thơ,2015,1248.0,Đồng Bằng Sông Cửu Long,Quận Thốt Nốt
Cần Thơ,2016,1257.9,Đồng Bằng Sông Cửu Long,Quận Ô Môn
Cần Thơ,2017,1272.8,Đồng Bằng Sông Cửu Long,Huyện Cờ Đỏ
Cần Thơ,2018,1282.3,Đồng Bằng Sông Cửu Long,Huyện Thới Lai
Cần Thơ,2019,1236.0,Đồng Bằng Sông Cửu Long,Huyện Thới Lai
Hậu Giang,2011,761.7,Đồng Bằng Sông Cửu Long,Huyện Châu Thành A
Hậu Giang,2012,763.8,Đồng Bằng Sông Cửu Long,Huyện Châu Thành A
Hậu Giang,2013,766.2,Đồng Bằng Sông Cửu Long,Huyện Châu Thành A
Hậu Giang,2014,768.4,Đồng Bằng Sông Cửu Long,Huyện Phụng Hiệp
Hậu Giang,2015,770.4,Đồng Bằng Sông Cửu Long,Thị xã Long Mỹ
Hậu Giang,2016,772.5,Đồng Bằng Sông Cửu Long,Thành phố Vị Thanh
Hậu Giang,2017,774.6,Đồng Bằng Sông Cửu Long,Thị xã Long Mỹ
Hậu Giang,2018,776.7,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Hậu Giang,2019,732.2,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Sóc Trăng,2011,1298.4,Đồng Bằng Sông Cửu Long,Huyện Thạnh Trị
Sóc Trăng,2012,1301.5,Đồng Bằng Sông Cửu Long,Huyện Thạnh Trị
Sóc Trăng,2013,1304.7,Đồng Bằng Sông Cửu Long,Thị xã Ngã Năm
Sóc Trăng,2014,1307.7,Đồng Bằng Sông Cửu Long,Huyện Trần Đề
Sóc Trăng,2015,1310.7,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Sóc Trăng,2016,1312.5,Đồng Bằng Sông Cửu Long,Huyện Mỹ Tú
Sóc Trăng,2017,1314.3,Đồng Bằng Sông Cửu Long,Thị xã Vĩnh Châu
Sóc Trăng,2018,1315.9,Đồng Bằng Sông Cửu Long,Thành phố Sóc Trăng
Sóc Trăng,2019,1199.5,Đồng Bằng Sông Cửu Long,Huyện Kế Sách
Bạc Liêu,2011,864.9,Đồng Bằng Sông Cửu Long,Huyện Hồng Dân
Bạc Liêu,2012,869.3,Đồng Bằng Sông Cửu Long,Thành phố Bạc Liêu
Bạc Liêu,2013,873.6,Đồng Bằng Sông Cửu Long,Thị xã Giá Rai
Bạc Liêu,2014,877.9,Đồng Bằng Sông Cửu Long,Thành phố Bạc Liêu
Bạc Liêu,2015,882.0,Đồng Bằng Sông Cửu Long,Huyện Hoà Bình
Bạc Liêu,2016,886.2,Đồng Bằng Sông Cửu Long,Huyện Hoà Bình
Bạc Liêu,2017,894.3,Đồng Bằng Sông Cửu Long,Thành phố Bạc Liêu
Bạc Liêu,2018,897.0,Đồng Bằng Sông Cửu Long,Huyện Vĩnh Lợi
Bạc Liêu,2019,908.2,Đồng Bằng Sông Cửu Long,Huyện Hồng Dân
Cà Mau,2011,1210.0,Đồng Bằng Sông Cửu Long,Huyện Đầm Dơi
Cà Mau,2012,1212.1,Đồng Bằng Sông Cửu Long,Huyện U Minh
Cà Mau,2013,1214.2,Đồng Bằng Sông Cửu Long,Huyện Trần Văn Thời
Cà Mau,2014,1216.4,Đồng Bằng Sông Cửu Long,Huyện Thới Bình
Cà Mau,2015,1218.9,Đồng Bằng Sông Cửu Long,Huyện Trần Văn Thời
Cà Mau,2016,1222.6,Đồng Bằng Sông Cửu Long,Huyện Thới Bình
Cà Mau,2017,1226.3,Đồng Bằng Sông Cửu Long,Huyện Cái Nước
Cà Mau,2018,1229.6,Đồng Bằng Sông Cửu Long,Huyện Thới Bình
Cà Mau,2019,1194.3,Đồng Bằng Sông Cửu Long,Huyện Trần Văn Thời
